natural_object|artifact, artefact
eating_apple|cooking_apple
dessert_apple|cooking_apple
cooking_apple|eating_apple, dessert_apple
skim_milk|whole_milk
skimmed_milk|whole_milk
whole_milk|skim_milk, skimmed_milk
generic|varietal, varietal_wine, varietal, varietal_wine
generic_wine|varietal, varietal_wine, varietal, varietal_wine
varietal|generic, generic_wine, generic, generic_wine
varietal_wine|generic, generic_wine, generic, generic_wine
aged|young, youth
elderly|young, youth
young|aged, elderly
youth|aged, elderly
brave|timid, cautious
timid|brave
cautious|brave
dead|living
living|dead
initiate|uninitiate
enlightened|uninitiate
uninitiate|initiate, enlightened
fauna|vegetation, flora, botany
zoology|vegetation, flora, botany
defense|prosecution
defence|prosecution
defense_team|prosecution
defense_lawyers|prosecution
prosecution|defense, defence, defense_team, defense_lawyers
offense|defense, defence, defending_team, defense, defence, defending_team
offence|defense, defence, defending_team, defense, defence, defending_team
defense|offense, offence, offense, offence
defence|offense, offence, offense, offence
defending_team|offense, offence, offense, offence
clergy|laity, temporalty
laity|clergy
temporalty|clergy
poor_people|rich_people, rich, rich_people, rich
poor|rich_people, rich, rich_people, rich
rich_people|poor_people, poor, poor_people, poor
rich|poor_people, poor, poor_people, poor
nonsingular_matrix|singular_matrix
singular_matrix|nonsingular_matrix
alliance|nonalignment, nonalinement
coalition|nonalignment, nonalinement
alignment|nonalignment, nonalinement
alinement|nonalignment, nonalinement
nonalignment|alliance, coalition, alignment, alinement
nonalinement|alliance, coalition, alignment, alinement
capitalism|socialism, socialist_economy
capitalist_economy|socialism, socialist_economy
market_economy|non-market_economy
free_enterprise|non-market_economy
private_enterprise|non-market_economy
laissez-faire_economy|non-market_economy
non-market_economy|market_economy, free_enterprise, private_enterprise, laissez-faire_economy
socialism|capitalism, capitalist_economy
socialist_economy|capitalism, capitalist_economy
friendly|hostile
hostile|friendly
day_school|boarding_school
boarding_school|day_school
day_school|night_school
night_school|day_school
vegetation|fauna, zoology
flora|fauna, zoology
botany|fauna, zoology
civil_law|international_law, law_of_nations
international_law|civil_law
law_of_nations|civil_law
head|rear
rear|head
here|there
there|here
apex|antapex
solar_apex|antapex
apex_of_the_sun's_way|antapex
antapex|apex, solar_apex, apex_of_the_sun's_way
apogee|perigee
apoapsis|periapsis, point_of_periapsis, periapsis, point_of_periapsis
point_of_apoapsis|periapsis, point_of_periapsis, periapsis, point_of_periapsis
aphelion|perihelion
apojove|perijove
aposelene|periselene, perilune, periselene, perilune
apolune|periselene, perilune, periselene, perilune
ascending_node|descending_node
node|antinode
antinode|node
foot|head
descending_node|ascending_node
front|rear, backside, back_end
front_end|rear, backside, back_end
forepart|rear, backside, back_end
inside|outside, exterior
interior|outside, exterior
inside|outside, exterior
interior|outside, exterior
lee|windward
lee_side|windward
leeward|windward
maximum|minimum
minimum|maximum
nadir|zenith
windward|lee, lee_side, leeward
outside|inside, interior
exterior|inside, interior
outside|inside, interior
exterior|inside, interior
periapsis|apoapsis, point_of_apoapsis, apoapsis, point_of_apoapsis
point_of_periapsis|apoapsis, point_of_apoapsis, apoapsis, point_of_apoapsis
perigee|apogee
perihelion|aphelion
perijove|apojove
periselene|aposelene, apolune, aposelene, apolune
perilune|aposelene, apolune, aposelene, apolune
right|left
left|right
back|front
rear|front
front|back, rear
rear|front, front_end, forepart
backside|front, front_end, forepart
back_end|front, front_end, forepart
country|urban_area, populated_area
rural_area|urban_area, populated_area
head|foot
urban_area|country, rural_area
populated_area|country, rural_area
zenith|nadir
slave_state|free_state
free_state|slave_state
incentive|disincentive, deterrence
inducement|disincentive, deterrence
motivator|disincentive, deterrence
disincentive|incentive, inducement, motivator
deterrence|incentive, inducement, motivator
abience|adience
adience|abience
ascent|descent, declivity, fall, decline, declination, declension, downslope
acclivity|descent, declivity, fall, decline, declination, declension, downslope
rise|descent, declivity, fall, decline, declination, declension, downslope
raise|descent, declivity, fall, decline, declination, declension, downslope
climb|descent, declivity, fall, decline, declination, declension, downslope
upgrade|descent, declivity, fall, decline, declination, declension, downslope
closed_chain|open_chain
ring|open_chain
descent|ascent, acclivity, rise, raise, climb, upgrade
declivity|ascent, acclivity, rise, raise, climb, upgrade
fall|ascent, acclivity, rise, raise, climb, upgrade
decline|ascent, acclivity, rise, raise, climb, upgrade
declination|ascent, acclivity, rise, raise, climb, upgrade
declension|ascent, acclivity, rise, raise, climb, upgrade
downslope|ascent, acclivity, rise, raise, climb, upgrade
distributary|feeder, tributary, confluent, affluent
feeder|distributary
tributary|distributary
confluent|distributary
affluent|distributary
highland|lowland
upland|lowland
high_sea|territorial_waters, territorial_waters
international_waters|territorial_waters, territorial_waters
inessential|necessity, essential, requirement, requisite, necessary
nonessential|necessity, essential, requirement, requisite, necessary
lowland|highland, upland
natural_depression|natural_elevation, elevation
depression|natural_elevation, elevation
natural_elevation|natural_depression, depression
elevation|natural_depression, depression
necessity|inessential, nonessential
essential|inessential, nonessential
requirement|inessential, nonessential
requisite|inessential, nonessential
necessary|inessential, nonessential
open_chain|closed_chain, ring
territorial_waters|high_sea, international_waters, high_sea, international_waters
cacodemon|eudemon, eudaemon, good_spirit
cacodaemon|eudemon, eudaemon, good_spirit
eudemon|cacodemon, cacodaemon
eudaemon|cacodemon, cacodaemon
good_spirit|cacodemon, cacodaemon
adult|juvenile, juvenile_person
grownup|juvenile, juvenile_person
captor|liberator
capturer|liberator
female|male, male_person
female_person|male, male_person
juvenile|adult, grownup
juvenile_person|adult, grownup
leader|follower
male|female, female_person
male_person|female, female_person
nonreligious_person|religious_person
nonworker|worker
religious_person|nonreligious_person
worker|nonworker
abstainer|drinker, imbiber, toper, juicer
abstinent|drinker, imbiber, toper, juicer
nondrinker|drinker, imbiber, toper, juicer
defendant|plaintiff, complainant
suspect|plaintiff, complainant
achiever|failure, loser, nonstarter, unsuccessful_person
winner|failure, loser, nonstarter, unsuccessful_person
success|failure, loser, nonstarter, unsuccessful_person
succeeder|failure, loser, nonstarter, unsuccessful_person
acquaintance|stranger, alien, unknown, stranger
friend|stranger, alien, unknown, stranger
adversary|agonist
antagonist|agonist
opponent|agonist
opposer|agonist
resister|agonist
agonist|adversary, antagonist, opponent, opposer, resister
ally|foe, enemy
friend|foe, enemy
amateur|professional, pro
ancestor|descendant, descendent
ascendant|descendant, descendent
ascendent|descendant, descendent
antecedent|descendant, descendent
root|descendant, descendent
aunt|uncle
auntie|uncle
aunty|uncle
bad_egg|good_egg
bad_guy|good_guy
bad_person|good_person
bear|bull
borrower|lender, loaner
brother|sister, sis
blood_brother|sister, sis
bull|bear
child|parent
kid|parent
citizen|foreigner, alien, noncitizen, outlander
civilian|serviceman, military_man, man, military_personnel
classicist|romanticist, romantic
clergyman|layman, layperson, secular
reverend|layman, layperson, secular
man_of_the_cloth|layman, layperson, secular
conservative|liberal, liberalist, progressive
conservativist|liberal, liberalist, progressive
conformist|nonconformist, recusant
nonconformist|conformist
recusant|conformist
Nonconformist|Anglican
chapelgoer|Anglican
Anglican|Nonconformist, chapelgoer
creditor|debtor, debitor
daughter|son, boy, son, boy
girl|son, boy, son, boy
debtor|creditor
debitor|creditor
descendant|ancestor, ascendant, ascendent, antecedent, root
descendent|ancestor, ascendant, ascendent, antecedent, root
dove|hawk, war_hawk
peacenik|hawk, war_hawk
draftee|volunteer, military_volunteer, voluntary
conscript|volunteer, military_volunteer, voluntary
inductee|volunteer, military_volunteer, voluntary
drinker|abstainer, abstinent, nondrinker
imbiber|abstainer, abstinent, nondrinker
toper|abstainer, abstinent, nondrinker
juicer|abstainer, abstinent, nondrinker
driver|nondriver
egalitarian|elitist
equalitarian|elitist
elitist|egalitarian, equalitarian
emotional_person|stoic, unemotional_person
employee|employer
employer|employee
expert_witness|lay_witness
extrovert|introvert
extravert|introvert
father|mother, female_parent, mother, female_parent
male_parent|mother, female_parent, mother, female_parent
begetter|mother, female_parent, mother, female_parent
fatso|thin_person, skin_and_bones, scrag
fatty|thin_person, skin_and_bones, scrag
fat_person|thin_person, skin_and_bones, scrag
roly-poly|thin_person, skin_and_bones, scrag
butterball|thin_person, skin_and_bones, scrag
female_aristocrat|male_aristocrat
female_offspring|male_offspring, man-child
female_sibling|male_sibling
female_child|male_child, boy, male_child, boy
girl|male_child, boy, male_child, boy
little_girl|male_child, boy, male_child, boy
foe|ally, friend
enemy|ally, friend
follower|leader
foreigner|citizen
alien|citizen
noncitizen|citizen
outlander|citizen
good_egg|bad_egg
good_guy|bad_guy
good_person|bad_person
granter|withholder
hawk|dove, peacenik
war_hawk|dove, peacenik
heir_apparent|heir_presumptive
heir_presumptive|heir_apparent
husband|wife, married_woman
hubby|wife, married_woman
married_man|wife, married_woman
inferior|superior, higher-up, superordinate
inpatient|outpatient
inmate|outpatient
introvert|extrovert, extravert
king|queen, queen_regnant, female_monarch, queen, queen_regnant, female_monarch
male_monarch|queen, queen_regnant, female_monarch, queen, queen_regnant, female_monarch
Rex|queen, queen_regnant, female_monarch, queen, queen_regnant, female_monarch
Lady|Lord, noble, nobleman, Lord, noble, nobleman
noblewoman|Lord, noble, nobleman, Lord, noble, nobleman
peeress|Lord, noble, nobleman, Lord, noble, nobleman
layman|clergyman, reverend, man_of_the_cloth
layperson|clergyman, reverend, man_of_the_cloth
secular|clergyman, reverend, man_of_the_cloth
lay_witness|expert_witness
lender|borrower
loaner|borrower
liar|square_shooter, straight_shooter, straight_arrow
prevaricator|square_shooter, straight_shooter, straight_arrow
liberal|conservative, conservativist
liberalist|conservative, conservativist
